가는 편,가는 편,가는 편,가는 편,오는 편,오는 편,오는 편,오는 편,구분,구분
항공사,출발 시간 (공항),도착 시간 (공항),소요 시간,항공사,출발 시간 (공항),도착 시간 (공항),소요 시간,카드사,가격(원)
에티하드항공,18:00 (ICN),07:55 (BCN),"경유 1, 20시간 55분",에티하드항공,07:50 (BCN),22:40 (ICN),"경유 2, 31시간 50분",성인/롯데카드,"1,517,900"
에티하드항공,18:00 (ICN),16:35 (BCN),"경유 2, 29시간 35분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/BC바로카드,"1,524,200"
에티하드항공,00:55 (ICN),14:20 (BCN),"경유 2, 44시간 25분",에티하드항공,06:25 (BCN),11:40 (ICN),"경유 2, 22시간 15분",성인/BC바로카드,"1,524,500"
에티하드항공,18:00 (ICN),07:55 (BCN),"경유 1, 20시간 55분",에티하드항공,06:50 (BCN),22:40 (ICN),"경유 2, 32시간 50분",성인/롯데카드,"1,526,900"
에어프랑스,10:50 (ICN),22:55 (BCN),"경유 1, 19시간 05분",KLM네덜란드항공,06:20 (BCN),08:40 (ICN),"경유 2, 19시간 20분",성인/NH채움카드,"1,527,200"
에티하드항공,18:00 (ICN),08:55 (BCN),"경유 2, 45시간 55분",에티하드항공,06:25 (BCN),22:40 (ICN),"경유 2, 33시간 15분",성인/BC바로카드,"1,532,500"
에어프랑스,10:50 (ICN),22:55 (BCN),"경유 1, 19시간 05분",에어프랑스,06:10 (BCN),08:40 (ICN),"경유 1, 19시간 30분",성인/KB국민카드(이용실적 충족시),"1,534,300"
에티하드항공,00:55 (ICN),16:35 (BCN),"경유 2, 46시간 40분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/BC바로카드,"1,535,300"
에어프랑스,10:50 (ICN),11:40 (BCN),"경유 1, 31시간 50분",에어프랑스,06:10 (BCN),08:40 (ICN),"경유 1, 19시간 30분",성인/KB국민카드(이용실적 충족시),"1,536,100"
에티하드항공,18:00 (ICN),16:35 (BCN),"경유 2, 29시간 35분",에티하드항공,11:50 (BCN),22:40 (ICN),"경유 2, 27시간 50분",성인/BC바로카드,"1,537,400"
에티하드항공,00:55 (ICN),14:20 (BCN),"경유 2, 44시간 25분",에티하드항공,07:50 (BCN),22:40 (ICN),"경유 2, 31시간 50분",성인/BC바로카드,"1,538,700"
에티하드항공,14:05 (ICN),07:55 (BCN),"경유 2, 24시간 50분",에티하드항공,07:50 (BCN),22:40 (ICN),"경유 2, 31시간 50분",성인/롯데카드,"1,540,700"
에티하드항공,00:55 (ICN),08:55 (BCN),"경유 2, 63시간 00분",에티하드항공,07:50 (BCN),22:40 (ICN),"경유 2, 31시간 50분",성인/BC바로카드,"1,546,500"
에티하드항공,00:55 (ICN),16:35 (BCN),"경유 2, 46시간 40분",에티하드항공,11:50 (BCN),22:40 (ICN),"경유 2, 27시간 50분",성인/BC바로카드,"1,548,500"
