항공,출발 시간,도착 시간,소요 시간,카드사,가격
"아시아나항공, 하와이안항공",15:40,04:10,"경유 1, 17시간 30분",성인/모든 결제수단,"3,161,700"
"ANA, 하와이안항공",15:40,04:10,"경유 1, 17시간 30분",성인/모든 결제수단,"3,162,100"
대한항공,21:40,17:35,"경유 2, 48시간 55분",성인/KB국민카드(이용실적 충족시),"3,163,200"
일본항공,13:10,23:25,"경유 1, 15시간 15분",성인/Mile1 하나카드,"3,167,900"
"아시아나항공, 알래스카항공",16:05,16:30,"경유 1, 29시간 25분",성인/모든 결제수단,"3,170,400"
델타항공,15:40,04:10,"경유 1, 17시간 30분",성인/모든 결제수단,"3,182,500"
"아시아나항공, 하와이안항공",15:40,04:10,"경유 1, 17시간 30분",성인/모든 결제수단,"3,196,400"
ANA,11:50,17:10,"직항, 10시간 20분",성인/모든 결제수단,"3,205,371"
"ANA, 하와이안항공",15:40,04:10,"경유 1, 17시간 30분",성인/모든 결제수단,"3,210,100"
"아시아나항공, 하와이안항공",15:40,04:10,"경유 1, 17시간 30분",성인/모든 결제수단,"3,244,500"
일본항공,23:30,15:00,"경유 1, 20시간 30분",성인/모든 결제수단,"3,250,300"
ANA,11:50,17:10,"직항, 10시간 20분",성인/모든 결제수단,"3,255,274"
일본항공,11:50,17:10,"직항, 10시간 20분",성인/모든 결제수단,"3,268,100"
"아시아나항공, 하와이안항공",13:25,04:10,"경유 1, 19시간 45분",성인/모든 결제수단,"3,272,700"
일본항공,13:10,23:25,"경유 1, 15시간 15분",성인/모든 결제수단,"3,277,478"
"아시아나항공, 하와이안항공",15:50,04:10,"경유 1, 17시간 20분",성인/모든 결제수단,"3,280,900"
델타항공,15:50,04:10,"경유 1, 17시간 20분",성인/모든 결제수단,"3,301,700"
"아시아나항공, 하와이안항공",15:50,04:10,"경유 1, 17시간 20분",성인/모든 결제수단,"3,315,600"
"ANA, 하와이안항공",11:35,18:35,"경유 1, 12시간 00분",성인/모든 결제수단,"3,320,900"
하와이안항공,11:40,20:15,"경유 1, 13시간 35분",성인/KB국민카드(이용실적 충족시),"3,337,600"
아시아나항공,11:40,20:15,"경유 1, 13시간 35분",성인/KB국민카드(이용실적 충족시),"3,348,200"
일본항공,15:50,11:45,"경유 1, 24시간 55분",성인/삼성카드,"3,350,300"
"아시아나항공, 하와이안항공",11:35,18:35,"경유 1, 12시간 00분",성인/모든 결제수단,"3,355,500"
일본항공,12:35,17:45,"직항, 10시간 10분",성인/모든 결제수단,"3,360,200"
"아시아나항공, 하와이안항공",15:50,04:10,"경유 1, 17시간 20분",성인/모든 결제수단,"3,363,700"
일본항공,12:15,23:25,"경유 1, 16시간 10분",성인/KB국민카드(이용실적 충족시),"3,363,800"
일본항공,12:35,17:45,"직항, 10시간 10분",성인/모든 결제수단,"3,373,000"
대한항공,11:40,20:15,"경유 1, 13시간 35분",성인/KB국민카드(이용실적 충족시),"3,377,200"
ANA,11:50,17:10,"직항, 10시간 20분",성인/모든 결제수단,"3,420,162"
일본항공,12:15,23:25,"경유 1, 16시간 10분",성인/삼성 iD NOMAD 카드,"3,426,200"
일본항공,12:45,05:00,"경유 1, 21시간 15분",성인/모든 결제수단,"3,460,200"
아시아나항공,15:50,04:35,"경유 1, 17시간 45분",성인/모든 결제수단,"3,476,471"
하와이안항공,14:20,14:25,"경유 1, 29시간 05분",성인/롯데카드,"3,493,500"
일본항공,16:05,22:05,"경유 1, 35시간 00분",성인/모든 결제수단,"3,495,200"
하와이안항공,15:50,04:35,"경유 1, 17시간 45분",성인/롯데카드,"3,498,800"
하와이안항공,21:40,17:35,"경유 2, 48시간 55분",성인/KB국민카드(이용실적 충족시),"3,499,900"
하와이안항공,13:10,23:25,"경유 1, 15시간 15분",성인/롯데카드,"3,501,600"
아시아나항공,14:20,14:25,"경유 1, 29시간 05분",성인/NH채움카드,"3,505,300"
아시아나항공,21:40,17:35,"경유 2, 48시간 55분",성인/KB국민카드(이용실적 충족시),"3,510,500"
아시아나항공,15:40,04:35,"경유 1, 17시간 55분",성인/NH채움카드,"3,510,600"
대한항공,13:50,04:10,"경유 1, 19시간 20분",성인/모든 결제수단,"3,511,100"
ANA,11:50,17:10,"직항, 10시간 20분",성인/모든 결제수단,"3,512,500"
아시아나항공,13:10,23:25,"경유 1, 15시간 15분",성인/NH채움카드,"3,513,400"
대한항공,11:35,18:35,"경유 1, 12시간 00분",성인/모든 결제수단,"3,513,900"
캐세이퍼시픽항공,11:40,21:15,"경유 2, 38시간 35분",성인/모든 결제수단,"3,522,893"
ANA,11:50,17:10,"직항, 10시간 20분",성인/모든 결제수단,"3,523,500"
대한항공,12:40,04:10,"경유 1, 20시간 30분",성인/모든 결제수단,"3,524,300"
대한항공,12:40,11:30,"경유 1, 27시간 50분",성인/모든 결제수단,"3,524,900"
대한항공,21:40,17:35,"경유 2, 48시간 55분",성인/KB국민카드(이용실적 충족시),"3,539,500"
대한항공,14:20,14:25,"경유 1, 29시간 05분",성인/삼성카드,"3,560,900"
대한항공,15:50,04:35,"경유 1, 17시간 45분",성인/삼성카드,"3,566,200"
대한항공,13:10,23:25,"경유 1, 15시간 15분",성인/삼성카드,"3,569,000"
캐세이퍼시픽항공,13:10,12:35,"경유 2, 28시간 25분",성인/모든 결제수단,"3,604,825"
대한항공,13:00,04:30,"경유 1, 20시간 30분",성인/롯데 Trip to 로카 카드,"3,621,300"
델타항공,12:35,17:45,"직항, 10시간 10분",성인/삼성카드,"3,644,000"
아시아나항공,11:35,18:35,"경유 1, 12시간 00분",성인/모든 결제수단,"3,699,300"
대한항공,21:20,17:50,"경유 1, 25시간 30분",성인/삼성 iD NOMAD 카드,"3,723,700"
대한항공,12:35,17:45,"직항, 10시간 10분",성인/삼성 iD NOMAD 카드,"3,731,300"
싱가폴항공,21:20,09:50,"경유 2, 41시간 30분",성인/모든 결제수단,"3,763,900"
싱가폴항공,21:20,09:50,"경유 2, 41시간 30분",성인/모든 결제수단,"3,778,900"
싱가폴항공,21:20,09:50,"경유 2, 41시간 30분",성인/모든 결제수단,"3,779,900"
대한항공,12:35,17:45,"직항, 10시간 10분",성인/롯데 Trip to 로카 카드,"3,781,500"
싱가폴항공,21:20,09:50,"경유 2, 41시간 30분",성인/모든 결제수단,"3,794,900"
"대한항공, 하와이안항공",07:55,05:00,"경유 1, 26시간 05분",성인/삼성카드,"3,807,800"
"아시아나항공, 하와이안항공",15:24,17:35,"경유 1, 31시간 11분",성인/모든 결제수단,"3,808,600"
"아시아나항공, 하와이안항공",15:24,17:35,"경유 1, 31시간 11분",성인/모든 결제수단,"3,822,400"
"아시아나항공, 하와이안항공",15:59,17:45,"경유 1, 30시간 46분",성인/모든 결제수단,"3,829,000"
"아시아나항공, 하와이안항공",15:59,17:45,"경유 1, 30시간 46분",성인/모든 결제수단,"3,842,700"
싱가폴항공,21:20,09:50,"경유 2, 41시간 30분",성인/모든 결제수단,"3,847,300"
대한항공,23:05,17:50,"경유 1, 23시간 45분",성인/롯데 Trip to 로카 카드,"3,859,100"
대한항공,12:35,17:45,"직항, 10시간 10분",성인/롯데 Trip to 로카 카드,"3,866,700"
대한항공,20:50,16:30,"경유 1, 24시간 40분",성인/삼성 iD NOMAD 카드,"3,870,900"
"대한항공, 하와이안항공",21:20,17:50,"경유 1, 25시간 30분",성인/삼성카드,"3,910,200"
싱가폴항공,21:20,09:50,"경유 2, 41시간 30분",성인/모든 결제수단,"3,940,600"
"대한항공, 하와이안항공",22:30,04:50,"경유 1, 35시간 20분",성인/NH채움카드,"3,948,900"
대한항공,20:50,16:30,"경유 1, 24시간 40분",성인/삼성 iD NOMAD 카드,"4,058,900"
싱가폴항공,21:20,09:50,"경유 2, 41시간 30분",성인/모든 결제수단,"4,069,900"
"대한항공, 하와이안항공",08:00,04:50,"경유 1, 25시간 50분",성인/NH채움카드,"4,082,500"
일본항공,15:40,04:10,"경유 1, 17시간 30분",성인/모든 결제수단,"4,151,100"
싱가폴항공,13:20,22:15,"경유 2, 37시간 55분",성인/모든 결제수단,"4,215,500"
싱가폴항공,13:20,22:15,"경유 2, 37시간 55분",성인/모든 결제수단,"4,230,500"
싱가폴항공,13:20,22:15,"경유 2, 37시간 55분",성인/모든 결제수단,"4,231,500"
싱가폴항공,13:20,22:15,"경유 2, 37시간 55분",성인/모든 결제수단,"4,246,500"
일본항공,15:50,04:10,"경유 1, 17시간 20분",성인/모든 결제수단,"4,270,300"
싱가폴항공,13:20,22:15,"경유 2, 37시간 55분",성인/모든 결제수단,"4,298,900"
싱가폴항공,21:20,07:45,"경유 2, 39시간 25분",성인/모든 결제수단,"4,367,200"
싱가폴항공,21:20,07:45,"경유 2, 39시간 25분",성인/모든 결제수단,"4,382,200"
싱가폴항공,21:20,07:45,"경유 2, 39시간 25분",성인/모든 결제수단,"4,383,200"
싱가폴항공,13:20,22:15,"경유 2, 37시간 55분",성인/모든 결제수단,"4,392,200"
싱가폴항공,21:20,07:45,"경유 2, 39시간 25분",성인/모든 결제수단,"4,398,200"
"아시아나항공, 유나이티드항공",23:30,15:00,"경유 1, 20시간 30분",성인/모든 결제수단,"4,424,300"
"아시아나항공, 유나이티드항공",23:30,04:20,"경유 1, 33시간 50분",성인/모든 결제수단,"4,448,400"
싱가폴항공,21:20,07:45,"경유 2, 39시간 25분",성인/모든 결제수단,"4,450,600"
싱가폴항공,21:40,22:15,"경유 2, 53시간 35분",성인/모든 결제수단,"4,495,500"
싱가폴항공,21:40,09:50,"경유 2, 41시간 10분",성인/모든 결제수단,"4,496,500"
"제주항공, 에어캐나다",22:00,21:10,"경유 2, 28시간 10분",성인/모든 결제수단,"4,507,421"
